ID;Województwo;Nazwa
"1";"2";"bolesławiecki"
"1";"4";"aleksandrowski"
"1";"6";"bialski"
"1";"8";"gorzowski"
"1";"10";"bełchatowski"
"1";"12";"bocheński"
"1";"14";"białobrzeski"
"1";"16";"brzeskii"
"1";"18";"bieszczadzki"
"1";"20";"augustowski"
"1";"22";"bytowski"
"1";"24";"będziński"
"1";"26";"buski"
"1";"28";"bartoszycki"
"1";"30";"chodzieski"
"1";"32";"białogardzki"
"2";"2";"dzierżoniowski"
"2";"4";"brodnicki"
"2";"6";"biłgorajski"
"2";"8";"krośnieńskii"
"2";"10";"kutnowski"
"2";"12";"brzeski"
"2";"14";"ciechanowski"
"2";"16";"głubczycki"
"2";"18";"brzozowski"
"2";"20";"białostocki"
"2";"22";"chojnicki"
"2";"24";"bielskii"
"2";"26";"jędrzejowski"
"2";"28";"braniewski"
"2";"30";"czarnkowsko-trzcianecki"
"2";"32";"choszczeński"
"3";"2";"głogowski"
"3";"4";"bydgoski"
"3";"6";"chełmski"
"3";"8";"międzyrzecki"
"3";"10";"łaski"
"3";"12";"chrzanowski"
"3";"14";"garwoliński"
"3";"16";"kędzierzyńsko-kozielski"
"3";"18";"dębicki"
"3";"20";"bielski"
"3";"22";"człuchowski"
"3";"24";"cieszyński"
"3";"26";"kazimierski"
"3";"28";"działdowski"
"3";"30";"gnieźnieński"
"3";"32";"drawski"
"4";"2";"górowski"
"4";"4";"chełmiński"
"4";"6";"hrubieszowski"
"4";"8";"nowosolski"
"4";"10";"łęczycki"
"4";"12";"dąbrowski"
"4";"14";"gostyniński"
"4";"16";"kluczborski"
"4";"18";"jarosławski"
"4";"20";"grajewski"
"4";"22";"gdański"
"4";"24";"częstochowski"
"4";"26";"kielecki"
"4";"28";"elbląski"
"4";"30";"gostyński"
"4";"32";"goleniowski"
"5";"2";"jaworski"
"5";"4";"golubsko-dobrzyński"
"5";"6";"janowski"
"5";"8";"słubicki"
"5";"10";"łowicki"
"5";"12";"gorlicki"
"5";"14";"grodziskii"
"5";"16";"krapkowicki"
"5";"18";"jasielski"
"5";"20";"hajnowski"
"5";"22";"kartuski"
"5";"24";"gliwicki"
"5";"26";"konecki"
"5";"28";"ełcki"
"5";"30";"grodziski"
"5";"32";"gryficki"
"6";"2";"jeleniogórski"
"6";"4";"grudziądzki"
"6";"6";"krasnostawski"
"6";"8";"strzelecko-drezdenecki"
"6";"10";"łódzki wschodni"
"6";"12";"krakowski"
"6";"14";"grójecki"
"6";"16";"namysłowski"
"6";"18";"kolbuszowski"
"6";"20";"kolneński"
"6";"22";"kościerski"
"6";"24";"kłobucki"
"6";"26";"opatowski"
"6";"28";"giżycki"
"6";"30";"jarociński"
"6";"32";"gryfiński"
"7";"2";"kamiennogórski"
"7";"4";"inowrocławski"
"7";"6";"kraśnicki"
"7";"8";"sulęciński"
"7";"10";"opoczyński"
"7";"12";"limanowski"
"7";"14";"kozienicki"
"7";"16";"nyski"
"7";"18";"krośnieński"
"7";"20";"łomżyński"
"7";"22";"kwidzyński"
"7";"24";"lubliniecki"
"7";"26";"ostrowiecki"
"7";"28";"iławski"
"7";"30";"kaliski"
"7";"32";"kamieński"
"8";"2";"kłodzki"
"8";"4";"lipnowski"
"8";"6";"lubartowski"
"8";"8";"świebodziński"
"8";"10";"pabianicki"
"8";"12";"miechowski"
"8";"14";"legionowski"
"8";"16";"oleski"
"8";"18";"leżajski"
"8";"20";"moniecki"
"8";"22";"lęborski"
"8";"24";"mikołowski"
"8";"26";"pińczowski"
"8";"28";"kętrzyński"
"8";"30";"kępiński"
"8";"32";"kołobrzeski"
"9";"2";"legnicki"
"9";"4";"mogileński"
"9";"6";"lubelski"
"9";"8";"zielonogórski"
"9";"10";"pajęczański"
"9";"12";"myślenicki"
"9";"14";"lipski"
"9";"16";"opolski"
"9";"18";"lubaczowski"
"9";"20";"sejneński"
"9";"22";"malborski"
"9";"24";"myszkowski"
"9";"26";"sandomierski"
"9";"28";"lidzbarski"
"9";"30";"kolski"
"9";"32";"koszaliński"
"10";"2";"lubański"
"10";"4";"nakielski"
"10";"6";"łęczyński"
"10";"8";"żagański"
"10";"10";"piotrkowski"
"10";"12";"nowosądecki"
"10";"14";"łosicki"
"10";"16";"prudnicki"
"10";"18";"łańcucki"
"10";"20";"siemiatycki"
"10";"22";"nowodworskii"
"10";"24";"pszczyński"
"10";"26";"skarżyski"
"10";"28";"mrągowski"
"10";"30";"koniński"
"10";"32";"myśliborski"
"11";"2";"lubiński"
"11";"4";"radziejowski"
"11";"6";"łukowski"
"11";"8";"żarski"
"11";"10";"poddębicki"
"11";"12";"nowotarski"
"11";"14";"makowski"
"11";"16";"strzelecki"
"11";"18";"mielecki"
"11";"20";"sokólski"
"11";"22";"pucki"
"11";"24";"raciborski"
"11";"26";"starachowicki"
"11";"28";"nidzicki"
"11";"30";"kościański"
"11";"32";"policki"
"12";"2";"lwówecki"
"12";"4";"rypiński"
"12";"6";"opolskii"
"12";"8";"wschowski"
"12";"10";"radomszczański"
"12";"12";"olkuski"
"12";"14";"miński"
"12";"18";"niżański"
"12";"20";"suwalski"
"12";"22";"słupski"
"12";"24";"rybnicki"
"12";"26";"staszowski"
"12";"28";"nowomiejski"
"12";"30";"krotoszyński"
"12";"32";"pyrzycki"
"13";"2";"milicki"
"13";"4";"sępoleński"
"13";"6";"parczewski"
"13";"10";"rawski"
"13";"12";"oświęcimski"
"13";"14";"mławski"
"13";"18";"przemyski"
"13";"20";"wysokomazowiecki"
"13";"22";"starogardzki"
"13";"24";"tarnogórski"
"13";"26";"włoszczowski"
"13";"28";"olecki"
"13";"30";"leszczyński"
"13";"32";"sławieński"
"14";"2";"oleśnicki"
"14";"4";"świecki"
"14";"6";"puławski"
"14";"10";"sieradzki"
"14";"12";"proszowicki"
"14";"14";"nowodworski"
"14";"18";"przeworski"
"14";"20";"zambrowski"
"14";"22";"tczewski"
"14";"24";"bieruńsko-lędziński"
"14";"28";"olsztyński"
"14";"30";"międzychodzki"
"14";"32";"stargardzki"
"15";"2";"oławski"
"15";"4";"toruński"
"15";"6";"radzyński"
"15";"10";"skierniewicki"
"15";"12";"suski"
"15";"14";"ostrołęcki"
"15";"18";"ropczycko-sędziszowski"
"15";"22";"wejherowski"
"15";"24";"wodzisławski"
"15";"28";"ostródzki"
"15";"30";"nowotomyski"
"15";"32";"szczecinecki"
"16";"2";"polkowicki"
"16";"4";"tucholski"
"16";"6";"rycki"
"16";"10";"tomaszowskii"
"16";"12";"tarnowski"
"16";"14";"ostrowskii"
"16";"18";"rzeszowski"
"16";"22";"sztumski"
"16";"24";"zawierciański"
"16";"28";"piski"
"16";"30";"obornicki"
"16";"32";"świdwiński"
"17";"2";"strzeliński"
"17";"4";"wąbrzeski"
"17";"6";"świdnicki"
"17";"10";"wieluński"
"17";"12";"tatrzański"
"17";"14";"otwocki"
"17";"18";"sanocki"
"17";"24";"żywiecki"
"17";"28";"szczycieński"
"17";"30";"ostrowski"
"17";"32";"wałecki"
"18";"2";"średzkii"
"18";"4";"włocławski"
"18";"6";"tomaszowski"
"18";"10";"wieruszowski"
"18";"12";"wadowicki"
"18";"14";"piaseczyński"
"18";"18";"stalowowolski"
"18";"28";"gołdapski"
"18";"30";"ostrzeszowski"
"18";"32";"łobeski"
"19";"2";"świdnickii"
"19";"4";"żniński"
"19";"6";"włodawski"
"19";"10";"zduńskowolski"
"19";"12";"wielicki"
"19";"14";"płocki"
"19";"18";"strzyżowski"
"19";"28";"węgorzewski"
"19";"30";"pilski"
"20";"2";"trzebnicki"
"20";"6";"zamojski"
"20";"10";"zgierski"
"20";"14";"płoński"
"20";"18";"tarnobrzeski"
"20";"30";"pleszewski"
"21";"2";"wałbrzyski"
"21";"10";"brzeziński"
"21";"14";"pruszkowski"
"21";"18";"leski"
"21";"30";"poznański"
"22";"2";"wołowski"
"22";"14";"przasnyski"
"22";"30";"rawicki"
"23";"2";"wrocławski"
"23";"14";"przysuski"
"23";"30";"słupecki"
"24";"2";"ząbkowicki"
"24";"14";"pułtuski"
"24";"30";"szamotulski"
"25";"2";"zgorzelecki"
"25";"14";"radomski"
"25";"30";"średzki"
"26";"2";"złotoryjski"
"26";"14";"siedlecki"
"26";"30";"śremski"
"27";"14";"sierpecki"
"27";"30";"turecki"
"28";"14";"sochaczewski"
"28";"30";"wągrowiecki"
"29";"14";"sokołowski"
"29";"30";"wolsztyński"
"30";"14";"szydłowiecki"
"30";"30";"wrzesiński"
"31";"30";"złotowski"
"32";"14";"warszawski zachodni"
"33";"14";"węgrowski"
"34";"14";"wołomiński"
"35";"14";"wyszkowski"
"36";"14";"zwoleński"
"37";"14";"żuromiński"
"38";"14";"żyrardowski"
